Dist_A0,Dist_A1,Dist_A2,Dist_A3,Dist_A4,Dist_A5,Dist_A6,Dist_A7
4.703659534,3.387135744,4.075242043,5.755567551,5.298146725,2.896756887,4.450748444,5.644021034
4.527815342,6.286001682,4.632228374,3.275863171,5.538384914,5.645740986,5.510685444,2.873794556
4.438011169,4.45470047,4.459228992,4.504568577,4.856852531,3.892879725,4.561839581,4.600795746
5.805787563,5.090488434,3.212973118,5.155331135,6.238864422,4.549751759,3.258574247,4.623565197
4.12784481,4.649573803,4.267119884,4.597391129,4.571071148,4.013755322,4.674757004,4.073359013
4.239375114,4.565794945,4.088366032,4.729005337,4.671046257,4.01549387,4.610693455,4.11519146
4.503847599,6.289231777,4.726058483,3.21246767,4.59188652,5.681052208,4.80959034,2.811287642
5.950814247,4.928166866,3.059280872,5.264827728,6.349333286,4.561774254,3.145274878,4.669497967
5.157195091,5.500854015,3.798270226,4.297247887,5.520333767,4.979783058,3.887301445,3.641142607
5.150905132,5.507319927,3.829034567,4.280493259,5.351818562,5.148074627,3.999196529,3.707870722
4.518399239,6.29797411,4.630033493,3.308413267,4.821237087,5.601543903,7.017524242,2.982089996
3.840103865,5.531968594,4.087201595,5.334022522,5.148835659,3.85797739,5.373896122,4.148992538
4.263028145,4.471800804,4.333248138,4.5813694,4.768025875,4.091884136,4.750128746,4.427447319
4.848926544,3.488649607,4.200045109,5.799240112,5.253885269,2.816847563,4.385895252,5.70181036
4.566355705,6.343179226,4.661841393,3.302599907,4.582539558,5.680489063,4.86410284,2.851259947
4.208190918,4.480661392,4.21367979,4.644260406,4.610196114,4.103021622,4.724334717,4.310470581
6.108879089,5.077646732,2.717987776,5.409683704,6.502274513,4.633947849,2.933219194,4.635441303
4.228991508,4.565860271,4.135217667,4.619218349,4.676907539,4.069149494,4.570053577,4.143718719
5.120700359,6.012997627,3.721601248,4.247488976,5.506168365,4.902969837,4.230587959,3.596146584
4.194636822,4.957375526,4.193530083,4.743379116,4.665794849,4.070803165,4.662219048,4.174328804
4.878901005,5.748771191,3.904332638,3.955191612,5.097658634,4.977661133,4.335698605,3.413967133
4.699226856,3.907456875,4.110887527,5.597109795,5.184627533,2.998579264,4.406988144,5.559101105
5.701235294,4.841226101,2.786422729,5.229630947,6.056892395,4.367005348,3.233032227,4.678582191
5.750446796,4.943779945,2.61387372,5.221074104,6.158887863,4.536208153,3.132673264,4.51363945
4.189486504,4.5675354,4.161016464,4.65093708,4.675076485,4.093062401,4.66593647,4.095004559
5.119831085,5.455722809,3.766238451,4.298266411,5.36679554,5.143306255,4.031449795,3.668425798
3.903926611,5.059877872,4.164200783,5.256539345,4.847038269,4.042570591,4.992568493,4.12946558
4.686239243,3.332240343,4.162397861,5.665764332,5.245313644,3.008928061,4.463726521,5.573736668
4.260178566,4.531657219,4.378977776,4.565739632,4.740999222,4.075356007,4.83105278,4.421309948
3.219853401,5.079327106,5.316454887,4.461318493,3.633538723,4.341758728,5.742653847,4.123652458
5.045566082,5.326801777,3.854940176,4.391176224,5.389163017,5.126358509,4.683228493,3.696430683
4.453728676,4.597537041,4.507059574,4.294139862,4.709320545,4.154533386,4.679697037,4.438496113
4.751767635,3.563728571,4.065036774,5.693628788,5.297716618,2.933638334,4.431049347,5.608274937
4.570439816,6.343347073,4.51894474,3.261902571,4.697502136,5.7032938,4.915201187,2.742018461
5.021679401,2.86629796,4.033150196,6.2899189,5.447534561,2.749056101,4.296591759,5.832671165
4.237694263,4.610293865,4.190686226,4.617639065,4.500207424,4.158997536,4.574189663,4.162729263
5.714645863,4.72863102,2.647809267,5.27450037,6.012038708,4.298649311,3.16915226,4.676978111
4.958875656,5.241139412,3.576931477,4.394040585,5.333137512,5.293531418,4.654156685,3.677144051
3.010192394,5.33527422,5.522113323,4.464072227,3.376020193,4.450131893,6.021393299,4.164836884
5.067413807,5.528954983,3.577355623,4.279950619,5.343220711,4.979484558,4.038770199,3.614231348
3.04066515,5.352442265,5.539913177,4.468058109,3.342405796,4.447306633,6.003133774,4.19614172
3.832569838,5.540953636,5.782985687,5.39056921,5.214463711,3.875786066,5.368006706,4.170661449
3.850921869,5.626832485,4.767998695,3.664000511,3.959102392,4.790277958,5.897467613,3.446324587
4.864985466,5.781611919,3.960635662,3.924056053,5.018111229,5.020553589,4.278175354,3.354068518
