Est_X,Est_Y,Est_Z,Target_X,Target_Y,Target_Z,Dist_A0,Dist_A1,Dist_A2,Dist_A3,Dist_A4,Dist_A5,Dist_A6,Dist_A7
2.967788696,3.30798316,1.504363656,3.240741253,3.363705158,1.499997735,4.446631908,4.911261559,4.125506878,4.509534836,4.889127731,4.435828209,4.418123722,3.934708595
1.815158606,3.071582794,1.456837058,1.699998021,3.436455011,1.5,3.630610466,4.646664143,4.950518131,4.811177731,3.985388756,4.100871086,5.40398407,4.297454834
2.263005733,3.290596485,0.007698903,0,0,0,3.858351707,5.508138657,4.079324245,5.38192606,5.148946762,3.867551565,5.384472847,4.173113346
2.21993494,4.407513142,1.49712956,2.644493341,4.359989166,1.5,4.909694195,3.699845076,3.788659573,5.693197727,5.484614849,3.067507505,4.096062183,5.391487122
2.341205835,3.358891964,0.143717363,2.500001431,3.360006809,0.025143245,3.849390268,5.274600506,4.070639133,5.395987511,5.027193069,3.834486723,5.402808189,4.14463377
2.367873192,3.441708565,1.525742054,2.360443115,3.370807648,1.499993443,4.246771336,4.383729458,4.241496563,5.041411877,4.588700294,4.039652824,4.62245512,4.387595177
2.242786407,3.22113204,0.067832001,0,0,0,3.841716051,5.381285191,5.746289253,5.357769489,5.213075638,3.862449884,5.379892349,4.121378422
3.768012524,3.299534082,1.34615314,3.699989319,3.360002518,1.5,5.14078331,5.94263792,3.640278339,4.224279404,5.405443192,4.944273949,4.188788414,3.622437954
3.141185999,2.383701086,1.465088844,2.717434168,2.359997749,1.5,4.26225853,6.009329319,4.517688751,3.560863256,4.574238777,5.342401505,5.556517601,3.186111689
3.719837189,2.361368656,1.533059001,3.699979782,2.359995842,1.5,4.556659222,6.370353222,4.549435616,3.296866179,4.665162563,5.671941757,4.8735466,2.838527918
3.724642754,3.302953959,1.491732597,3.699979782,3.360005379,1.5,5.093904972,5.635862827,3.753427029,4.175467968,5.43640995,5.066199303,4.040717125,3.50894928
2.443778276,3.301730156,0.505724609,2.500004053,3.360004187,0.214905575,3.933140516,5.408444881,4.279778481,4.849114418,4.804351807,3.843230724,5.076730251,4.102169514
2.362647772,3.441657305,1.691702366,2.360443115,3.370807648,1.499993443,4.450440884,4.577899933,4.512557983,4.526511192,4.79033947,3.854918718,4.554433346,4.618496895
3.672059536,2.327140331,1.537088037,3.699979782,2.359995842,1.5,4.580835819,6.307510853,4.709802151,3.283462286,4.521098614,5.677230835,4.932808399,2.787176132
3.213465691,3.310432673,1.431454182,3.479430437,3.361779451,1.499998927,4.699696064,4.969815731,3.889122486,4.398504734,5.020655632,4.607451439,4.650345325,3.851717234
3.736263275,2.29817009,1.498465896,3.699979782,2.359995842,1.5,4.530955791,6.382062912,4.561317444,3.215994358,4.686091423,5.766532421,4.961916924,2.73423934
2.233205318,3.277251005,0.028837366,0,0,0,3.861223698,5.547955036,4.091140747,5.397301674,5.187248707,3.899802446,5.378706932,4.141036034
3.718751431,2.343031645,1.478750229,3.699979782,2.359995842,1.5,4.683412552,6.321302891,4.616702557,3.343338966,4.68088007,5.662270069,4.832890987,2.824930191
3.566195488,3.378945589,1.570461273,3.693894863,3.360049963,1.5,5.197899818,5.410523891,3.882061243,4.46840477,5.397190094,4.922164917,4.285829544,3.845397949
3.30955267,3.345880032,1.502428532,3.140752077,3.360002756,1.5,5.01670742,5.205730915,3.777773142,4.474322319,5.186766148,4.904931545,4.690021038,3.866771221
3.65517807,3.329658747,1.608050585,3.699979782,3.360005379,1.5,5.116565704,5.344796181,3.813395262,4.338380814,5.411553383,5.117417336,4.22811985,3.76057291
3.707318783,4.343103886,1.4528054,3.699988842,4.35862112,1.5,5.674262047,5.023522377,2.704550028,5.147093296,6.142559528,4.446689129,3.277200937,4.552782059
3.54930687,3.3078866,1.476824284,3.590422869,3.360883951,1.499999523,5.037466049,5.320065975,3.690443993,4.342494011,5.276158333,5.064984798,4.348096371,3.700361013
1.671935797,4.040671349,1.591505885,1.699999928,4.269819736,1.5,4.43601656,3.778844118,4.525994301,5.485848427,4.800836086,3.332054615,4.731365204,5.399353504
2.480755568,3.335003614,1.42686379,2.500005722,3.360002518,1.5,4.156364441,4.55279398,4.201771259,4.587534428,4.622522354,4.018994331,4.688425541,4.073725224
3.757717609,3.378820896,1.477098107,3.699989319,3.360002518,1.5,5.220183849,5.500619411,3.614641428,4.281145573,5.484256744,5.065056324,3.910081863,3.660065651
2.446959734,3.232300997,0.905811369,2.360456467,3.370814323,1.344871998,3.804219484,5.245501041,4.105589867,4.623270988,4.722090721,3.973115444,5.092775822,4.056589127
3.011740923,4.292386532,1.551295161,3.359875679,4.359994888,1.5,5.186546803,4.191633224,3.430765867,5.393488407,5.711483002,3.834891558,3.46932435,4.842039108
3.738358498,3.319447279,1.611057043,3.699989319,3.360002518,1.5,5.144750118,5.646256924,3.808998108,4.306855202,5.289477348,5.265975475,4.035736084,3.659478664
1.752995133,2.650679111,1.486774206,1.69999671,2.884510279,1.5,3.281742334,4.988083839,5.070998669,4.513336658,3.542008877,4.301721096,5.659364223,4.150795937
3.739722252,4.354979992,1.447553515,3.699988842,4.359947205,1.5,5.736543655,4.841248989,2.624772787,5.184882164,6.07575798,4.534682274,3.171406269,4.554419994
1.669126868,2.351073503,1.49638164,1.699995518,2.360002518,1.5,3.01734066,5.342037678,5.528951168,4.472708225,3.415174484,4.420813084,5.985964775,4.187978268
2.24329567,3.217359543,0.066348299,0,0,0,3.852164984,5.56848526,5.64935112,5.356873035,5.183402538,3.871818542,5.353802681,4.143756866
3.754235029,3.403165102,1.618077397,3.699989319,3.360002518,1.5,5.263207436,5.600376129,3.802965879,4.324563503,5.600273132,5.115053654,3.885173082,3.740353584
1.742301464,4.418796539,1.444982767,1.699999809,4.35997963,1.5,4.788549423,3.57900691,4.018798828,5.699496746,5.399077892,2.846653223,4.354855537,5.707897186
3.583585501,3.344379425,1.577529311,3.669543743,3.360245943,1.499999881,5.149009228,5.332644939,3.964610338,4.392591476,5.296867371,5.061472893,4.370541096,3.832915545
3.751107454,3.366573572,1.555960655,3.699989319,3.360002518,1.5,5.191696644,5.532426357,3.753605843,4.26907444,5.423882484,5.07749939,3.847457409,3.640345573
2.349337339,3.362945795,0.045041252,2.360459566,3.370816469,0.059965406,4.056138992,5.389606476,4.181539059,5.336760044,5.4002285,3.879048586,5.288487434,5.815451622
2.463288069,3.313720703,0.54285264,2.500004292,3.360003948,0.250654638,3.963523865,5.164347172,3.764250755,4.786731243,4.757418156,3.845674038,5.072092533,4.09264946
1.84072113,4.310432911,1.438188195,1.699999809,4.35997963,1.5,4.752203941,3.647366285,3.989061356,5.629348755,5.309135914,2.991425991,4.358407021,5.530611992
3.573142767,4.186697006,1.644508362,3.699989796,4.275034428,1.5,5.687116146,4.738781452,3.296854734,4.973423481,6.078886986,4.482257366,3.60487628,4.639190674
3.600798607,3.339007616,1.624756217,3.657196999,3.36000514,1.5,5.085391045,5.382497787,3.8877635,4.400343418,5.333141804,5.034653664,4.067695618,3.723609924
2.351024151,3.429774761,1.64575398,2.360443115,3.370807648,1.499993443,4.376374722,4.614229202,4.332238674,4.93238306,4.711604118,3.992762089,4.608916759,4.577350616
2.483818054,3.359692812,1.419492006,2.500005722,3.360002518,1.5,4.201628685,4.561154842,4.121192932,4.672000885,4.674460888,4.067696571,4.699313641,4.110740185
3.658374548,3.96045661,1.498996019,3.699994564,3.761997223,1.5,5.513041019,5.100004196,3.164577246,5.000946522,5.96479702,4.570845604,3.551707745,4.343749046
3.791602135,3.161262989,1.575504422,3.699992895,2.990011692,1.5,5.149474144,5.704276085,3.804908037,4.16721487,5.375794411,5.259382248,4.282675743,3.581954002
3.589037657,3.390550852,1.572365999,3.696564913,3.360028505,1.5,5.165369034,5.4103899,3.824448109,4.474403858,5.400743484,4.993203163,4.185337543,3.84016633
2.691286087,3.37355566,1.591631889,2.522278786,3.360000372,1.5,4.546494007,4.858881474,3.9648664,4.131286621,4.790105343,4.261659622,4.440382481,4.278789997
3.695073605,3.204337358,1.577267647,3.699991703,3.119322777,1.5,5.205274105,5.58317709,3.927416325,4.241022587,5.380213737,5.323094368,4.283056259,3.717193604
3.704617262,3.312844515,1.353463292,3.699989319,3.349903107,1.5,5.001236439,5.885464191,3.627725124,4.331923008,5.489933968,4.888647556,4.312854767,3.641458035
3.713843346,3.310413837,1.569452405,3.699989319,3.359887838,1.5,5.089197159,5.481976032,3.79669404,4.378996372,5.311629295,5.27994585,4.094577312,3.654360294
3.823799849,4.23439455,1.44566524,3.699992657,3.976311445,1.5,5.789843082,5.013842583,2.551621199,5.159871101,6.265365601,4.664797306,3.136221886,4.469415188
3.301836014,3.3002038,1.424792051,3.511247873,3.361522675,1.499999046,4.797622681,5.643960476,3.769534588,4.378760815,5.039092541,4.737247467,4.676553726,3.788716078
2.323558569,3.256088257,0.082071766,0,0,0,3.838177443,5.452357769,4.12923336,5.378502369,5.027466774,3.868075848,5.357092857,4.12712574
1.725447774,4.141260624,1.570502877,1.700000048,4.321651459,1.5,4.575252533,3.689178228,4.26484108,5.504260063,4.914680004,3.204151869,4.663984299,5.412267208
3.842672586,4.278068542,1.544273019,3.699991226,4.136982441,1.5,5.966817379,5.156791687,2.965027332,5.208061695,6.39456892,4.684017181,3.118086338,4.570959568
1.641108155,2.378675699,1.507566452,1.699995518,2.360002518,1.5,3.089431047,5.19342804,5.521588802,4.47565794,3.297296524,4.442966938,6.024871349,4.248968124
3.700758934,3.358067274,1.481107593,3.699989319,3.360002518,1.5,5.16140604,5.480333328,3.813873529,4.318925381,5.568357468,5.093070507,3.97963953,3.631168842
2.375519037,3.263326406,1.62830627,2.360443115,3.370807648,1.499993443,4.104308128,4.624569893,4.369921207,4.494490147,4.566121578,4.226818562,5.001841068,4.300323009
3.640200377,4.297876835,1.4617697,3.699988842,4.352218151,1.5,5.627418041,4.93289423,2.735961437,5.124887943,6.038312435,4.475949287,3.342249155,4.597012997
2.424886227,3.363162279,1.561917424,2.517174006,3.369543076,1.499994159,4.272737026,4.476863384,4.326486111,4.520335674,4.669272423,4.079120636,4.768377304,4.391448021
2.573450089,3.258791685,1.608443975,2.500346661,3.360001564,1.5,4.391898632,4.874092579,4.444835186,4.177828312,4.567719936,4.202105045,4.64960289,4.300710678
2.349206924,3.371093512,1.704062104,2.360443115,3.370807648,1.499993443,4.368082523,4.784137249,4.577132702,4.461066723,4.73060751,3.88856864,4.68575573,4.610154152
1.638243556,3.945870399,1.595679641,1.699999809,4.216011524,1.5,4.307945251,3.742046356,4.615194798,5.490922451,4.730306625,3.359563828,4.846830845,5.30766058
3.778266907,3.264451504,1.439703465,3.699979782,3.360005379,1.5,5.145240784,5.906543732,3.676982403,4.125902653,5.470067501,4.992413044,4.196274281,3.484976292
3.165020704,4.275745869,1.592105627,3.452628136,4.359995365,1.5,5.295807838,4.904118538,3.548150063,5.342284203,5.738989353,3.957360744,3.30792594,4.765824318
1.792244673,2.941728592,1.472747087,1.699997663,3.292418242,1.5,3.492458582,4.736632824,4.847088814,4.702912807,3.914205551,4.205815315,5.427244663,4.207214832
1.787567377,2.404754162,1.511357665,1.699995756,2.478461266,1.5,3.180403948,5.327946663,5.359654427,4.372329235,3.566666126,4.480022907,5.888305187,4.087793827
2.234670162,3.285360336,0.022890313,0,0,0,3.857353926,5.298182011,4.091430664,5.369055748,5.212492943,3.861074686,5.407126904,4.093434811
1.669876814,2.366114378,1.496008515,1.699995518,2.360002518,1.5,3.073316336,5.331522942,5.524787903,4.4653759,3.398690701,4.401939869,6.003303528,4.215215683
